#Acknowledge use of the ATNF Pulsar Catalogue, both by giving the Catalogue web address:http://www.atnf.csiro.au/people/pulsar/psrcat/ and by referencing the paper: Manchester, R. N., Hobbs, G. B., Teoh, A. & Hobbs, M., AJ, 129, 1993-2006 (2005) 
1,J0006+1834,cnt96,1.4414462816,3,cn95,12.0,6,cn95,
2,J0007+7303,aaa+09c,3.165827392,3,awd+12,*,0,*
3,J0014+4746,dth78,0.805997239145,7,hlk+04,30.85,7,hlk+04,
4,J0023+0923,hrm+11,327.868852,0,hrm+11,14.3,0,hrm+11,
5,J0024-7204C,mld+90,173.708218966053,5,fck+03,24.599,2,fkl+01,
6,J0024-7204D,mlr+91,186.651669856838,6,fck+03,24.729,2,fkl+01,
7,J0024-7204E,mlr+91,282.77910703517,1,fck+03,24.230,2,fkl+01,
8,J0024-7204F,mlr+91,381.15866365655,2,fck+03,24.379,5,fkl+01,
9,J0024-7204G,rlm+95,247.50152509652,2,fck+03,24.441,5,fkl+01,
10,J0024-7204H,mlr+91,311.49341784442,4,fck+03,24.36,3,fkl+01,
11,J0024-7204I,mlr+91,286.94469953064,4,fck+03,24.42,2,fkl+01,
12,J0024-7204J,mlr+91,476.046858440607,6,fck+03,24.5848,9,fck+03,
13,J0024-7204L,rlm+95,230.08774629150,7,fck+03,24.38,5,fkl+01,
14,J0024-7204M,mlr+91,271.98722878893,7,fck+03,24.42,2,fkl+01,
15,J0024-7204N,rlm+95,327.44431861755,4,fck+03,24.56,3,fkl+01,
16,J0024-7204O,clf+00,378.30878836037,3,fck+03,24.363,10,fck+03,
17,J0024-7204P,clf+00,274.49746,8,clf+00,24.3,1,clf+00,
18,J0024-7204Q,clf+00,247.94323741908,3,fck+03,24.29,2,fkl+01,
19,J0024-7204R,clf+00,287.31810,9,clf+00,24.4,1,clf+00,
20,J0024-7204S,clf+00,353.30620938559,5,fck+03,24.353,9,fck+03,
21,J0024-7204T,clf+00,131.77869947412,7,fck+03,24.39,6,fkl+01,
22,J0024-7204U,clf+00,230.26477221192,2,fck+03,24.335,4,fkl+01,
23,J0024-7204V,clf+00,207.90,5,clf+00,24.1,1,clf+00,
24,J0024-7204W,clf+00,425.10789,19,clf+00,24.3,1,clf+00,
25,J0024-7204X,fre08,209.599665,0,fre08,24.0,2,fre08,
26,J0024-7204Y,fre08,455.236586,0,fre08,24.2,1,fre08,
27,J0024-7204Z,fre08,219.587176,0,fre08,24.47,1,fre08,
28,J0026+6320,jml+09,3.141120512829,10,jml+09,230.31,0,jml+09,
29,J0030+0451,lzb+00,205.530699274922,9,aaa+09e,4.333,1,aaa+09e,
30,J0033+57,hrk+08,3.174603,0,hrk+08,76,0,hrk+08,
31,J0033+61,hrk+08,1.096491,0,hrk+08,37,0,hrk+08,
32,J0034-0534,bhl+94,532.71342974902,6,aaa+10b,13.76517,4,aaa+10b,
33,J0034-0721,lvw69a,1.0605004987209,19,hlk+04,11.38,8,hlk+04,
34,J0040+5716,dtws85,0.8942741320036,10,hlk+04,92.595,9,hlk+04,
35,J0045-7042,mfl+06,1.58143821680,16,mfl+06,70,3,mfl+06,
36,J0045-7319,mmh+91,1.07959193868,4,kbm+96,105.4,7,kjb+94,
37,J0048+3412,dtws85,0.821629025162,5,hlk+04,39.94,4,hlk+04,
38,J0051+0423,snt97,2.81903117539,8,snt97,13.9,1,snt97,
39,J0054+66,hrk+08,0.719424,0,hrk+08,15,0,hrk+08,
40,J0055+5117,dtws85,0.4727749811340,8,hlk+04,44.125,15,hlk+04,
41,J0056+4756,dtws85,2.11847951725,3,hlk+04,18.09,4,hlk+04,
42,J0057-7201,ckm+01,1.3548989114,4,ckm+01,27,5,ckm+01,
43,J0058+6125,hrk+08,1.569859,0,hrk+08,129,0,hrk+08,
44,J0100-7211,lfmp02,0.12468219,14,mgr+05,*,0,*
45,J0101-6422,kcj+12,388.62842568810,4,kcj+12,11.926,1,kcj+12,
46,J0102+4839,hrm+11,337.837838,0,hrm+11,53.5,0,hrm+11,
47,J0102+6537,dbtb82,0.595534363281,4,hlk+04,65.853,16,hlk+04,
48,J0106+4855,pga+12,12.02540173638,8,pga+12,70.87,20,pga+12,
49,J0108-1431,tnj+94,1.23829100810,3,hlk+04,2.38,19,hlk+04,
50,J0108+6608,dls72,0.7790225779,3,hlk+04,30.46,5,hlk+04,
51,J0108+6905,dtws85,0.933603858245,4,hlk+04,61.092,16,hlk+04,
52,J0111-7131,mfl+06,1.45234525892,11,mfl+06,76,3,mfl+06,
53,J0113-7220,ckm+01,3.06858581302,10,ckm+01,125.49,3,ckm+01,
54,J0117+5914,stwd85,9.85813488508,19,hlk+04,49.423,4,hlk+04,
55,J0131-7310,mfl+06,2.87253929366,6,mfl+06,205.2,7,mfl+06,
56,J0133-6957,lml+98,2.157619537033,14,dsb+98,22.948,8,dsb+98,
57,J0134-2937,mld+96,7.301317419150,5,hlk+04,21.806,6,hlk+04,
58,J0137+1654,lxf+05,2.411015293284,3,lxf+05,26.6,4,lxf+05,
59,J0139+5814,dth78,3.67038973818,20,hlk+04,73.779,6,hlk+04,
60,J0141+6009,mth72,0.8176959072274,12,hlk+04,34.797,11,hlk+04,
61,J0146+6145,ims94,0.1150920955,12,gdk11,*,0,*
62,J0147+5922,stwd85,5.093688844679,4,ywml10,40.111,3,hlk+04,
63,J0151-0635,mlt+78,0.682750190448,3,hlk+04,25.66,3,hlk+04,
64,J0152+0948,clm+05,0.364080238329,14,clm+05,21.87,2,clm+05,
65,J0152-1637,mlt+78,1.2008526831899,18,hlk+04,11.922,4,hlk+04,
66,J0156+3949,dtws85,0.55201023568,3,hlk+04,60.0,6,hlk+04,
67,J0157+6212,dls72,0.425216180759,11,hlk+04,30.21,3,hlk+04,
68,J0205+6449,mss+02,15.21701089718,2,lrc+09,140.7,3,csl+02,
69,J0206-4028,mlt+78,1.585916702289,16,smd93,12.9,12,nmc81,
70,J0211-8159,lml+98,0.9282183663,7,dsb+98,24.36,3,dsb+98,
71,J0215+6218,llc98,1.821892452777,9,hlk+04,84.00,5,hlk+04,
72,J0218+4232,nbf+95,430.4610663457,3,hlk+04,61.252,5,hlk+04,
73,J0231+7026,dtws85,0.681746765985,3,hlk+04,46.64,3,hlk+04,
74,J0240+62,hrk+08,1.689189,0,hrk+08,4,0,hrk+08,
75,J0243+6027,hrk+08,0.678887,0,hrk+08,141,0,hrk+08,
76,J0248+6021,rcl+99,4.6063,1,tpc+11,370,1,tpc+11,
77,J0255-5304,lvw69b,2.233596469470,15,smd93,15.9,5,mlt+78,
78,J0304+1932,fss73,0.7206768587625,14,hlk+04,15.737,9,hlk+04,
79,J0308+74,hrm+11,316.455696,0,hrm+11,6.35,0,hrm+11,
80,J0323+3944,dth78,0.3298074763345,10,hlk+04,26.01,3,hlk+04,
81,J0329+1654,lxf+05,1.1194201180723,13,lxf+05,42.1,2,lxf+05,
82,J0332+5434,cp68,1.399541538720,6,hlk+04,26.833,10,hlk+04,
83,J0335+4555,dtws85,3.7147027882896,17,hlk+04,47.153,3,hlk+04,
84,J0340+4130,hrm+11,303.951368,0,hrm+11,49.6,0,hrm+11,
85,J0341+5711,hrk+08,0.529661,0,hrk+08,100,0,hrk+08,
86,J0343-3000,bjd+06,0.385055657642,14,bjd+06,20.2,3,bjd+06,
87,J0343+5312,dth78,0.516935299969,4,hlk+04,67.30,6,hlk+04,
88,J0348+0432,lbr+13,25.5606361937675,4,afw+13,40.46313,11,afw+13,
89,J0357+3205,aaa+09c,2.251722292,3,rkp+11,*,0,*
90,J0357+5236,dtws85,5.075366707885,7,hlk+04,103.706,4,hlk+04,
91,J0358+5413,mth72,6.39458076050,6,hlk+04,57.1420,3,js06,
92,J0401-7608,mlt+78,1.83401186702,6,smd93,21.6,4,dmk+93,
93,J0406+6138,dth78,1.681870311647,2,ywml10,65.303,7,hlk+04,
94,J0407+1607,lxf+05,38.90787282632,4,lxf+05,35.65,2,lxf+05,
95,J0408+551,hrk+08,0.544366,0,hrk+08,55,0,hrk+08,
96,J0408+552,hrk+08,1.326260,0,hrk+08,64,0,hrk+08,
97,J0413+58,hrk+08,1.455604,0,hrk+08,57,0,hrk+08,
98,J0415+6954,dtws85,2.5594097227140,17,hlk+04,27.465,4,hlk+04,
99,J0417+35,cnst96,1.52812,8,cnst96,51,10,cnst96,
100,J0418+5732,vck+10,0.1101517109,5,ert+11,*,0,*
101,J0419+44,hrk+08,0.805802,0,hrk+08,71,0,hrk+08,
102,J0420-5022,hmz+04,0.2896029058,10,kv11,*,0,*
103,J0421-0345,mld+96,0.462682676962,3,hlk+04,44.61,9,hlk+04,
104,J0426+4933,hrk+08,1.084599,0,hrk+08,85,0,hrk+08,
105,J0435+27,rtj+96,3.064859,9,rtj+96,53,5,rtj+96,
106,J0437-4715,jlh+93,173.687946184768,3,vbv+08,2.64476,7,vbv+08,
107,J0448-2749,lml+98,2.220010446257,8,hlk+04,26.22,4,hlk+04,
108,J0449-7031,mfl+06,2.08696826121,7,mfl+06,65.83,7,mfl+06,
109,J0450-1248,mlt+78,2.283031270545,4,hlk+04,37.041,10,hlk+04,
110,J0451-67,mfl+06,4.0740783,12,mfl+06,45,1,mfl+06,
111,J0452-1759,vlw69,1.821695294426,7,hlk+04,39.903,3,hlk+04,
112,J0454+5543,dth78,2.93487997706,8,hlk+04,14.495,7,hlk+04,
113,J0455-6951,mmh+91,3.12087740359,12,ckm+01,94.89,14,ckm+01,
114,J0456-69,rcl+13,8.5416754,11,rcl+13,103,1,rcl+13,
115,J0456-7031,mfl+06,1.24979366967,16,mfl+06,100.3,3,mfl+06,
116,J0457-6337,mfl+06,0.40047870082,4,mfl+06,27.5,10,mfl+06,
117,J0457-69,rcl+13,4.3217007,14,rcl+13,91,1,rcl+13,
118,J0458-0505,lbr+13,0.53093220067,6,lbr+13,47.806,32,lbr+13,
119,J0458-67,rcl+13,0.8819120,14,rcl+13,97,2,rcl+13,
120,J0459-0210,mld+96,0.882553236380,4,hlk+04,21.02,3,hlk+04,
121,J0501+4516,gwk08,0.173547943,1,gwk+10,*,0,*
122,J0502+4654,dth78,1.566010110074,5,hlk+04,42.187,8,hlk+04,
123,J0502-6617,mmh+91,1.44665164324,9,ckm+01,68.9,3,ckm+01,
124,J0511-6508,mfl+06,3.10499386985,8,mfl+06,25.66,8,mfl+06,
125,J0514-4002A,fgri04,200.37770740529,11,frg07,52.1489,6,frg07,
126,J0517+22,cha03,4.497535,0,cha03,20,0,cha03,
127,J0519+44,hrk+08,1.941748,0,hrk+08,52,0,hrk+08,
128,J0519-6932,mfl+06,3.79922415527,5,mfl+06,119.4,5,mfl+06,
129,J0520-2553,lml+98,4.138350423366,11,hlk+04,33.77,3,hlk+04,
130,J0521-68,rcl+13,2.3072271,16,rcl+13,136,4,rcl+13,
131,J0522-6847,mfl+06,1.48250955451,7,mfl+06,126.45,7,mfl+06,
132,J0525+1115,mlt+78,2.8213711397405,10,hlk+04,79.345,3,hlk+04,
133,J0525-6607,mgi+79,0.124270,4,kkm+03,*,0,*
134,J0528+2200,sr68,0.266984253314,2,ywml10,50.937,17,hlk+04,
135,J0529-6652,mhah83,1.02487897149,7,ckm+01,103.2,3,ckm+01,
136,J0532-6639,mfl+06,1.55583240504,8,mfl+06,69.3,18,mfl+06,
137,J0532-69,rcl+13,1.740348,3,rcl+13,124,1,rcl+13,
138,J0533+0402,snt97,1.03840251113,3,snt97,83.7,1,snt97,
139,J0533+67,rap+12,227.790433,0,rap+12,57.4,0,rap+12,
140,J0534+2200,sr68,30.2254370,1,lps93,56.791,1,cr71,
141,J0534-6703,mfl+06,0.55018664142,6,mfl+06,94.7,12,mfl+06,
142,J0535-66,rcl+13,4.7500442,7,rcl+13,75,1,rcl+13,
143,J0535-6935,ckm+01,4.9872493,5,mfl+06,93.7,4,mfl+06,
144,J0536-7543,mlt+78,0.80266124178,4,smd93,17.5,5,dmk+93,
145,J0537-69,rcl+13,8.8799527,16,rcl+13,273,1,rcl+13,
146,J0537-6910,mgz+98,62.0261895958,13,mgm+04,*,0,*
147,J0538+2817,fcwa95,6.985276348019,5,klh+03,39.570,1,lwf+04,
148,J0540+3207,cfl+06,1.9074109781353,19,nab+13,61.97,4,nab+13,
149,J0540-6919,shh84,19.80244383176,2,lkg05,146.5,2,jr03,
150,J0540-7125,lml+98,0.7775961516,19,dsb+98,29.41,7,dsb+98,
151,J0542-68,rcl+13,2.351895,4,rcl+13,114,5,rcl+13,
152,J0543+2329,dls72,4.06545762605,3,hlk+04,77.7115,17,hlk+04,
153,J0543-6851,mfl+06,1.41052838124,12,mfl+06,131,4,mfl+06,
154,J0546+2441,clm+05,0.351635938793,8,clm+05,73.81,3,clm+05,
